longitude_e4,latitude_e4,start_time,platform_id,resolution_id,band_id,si_value,radiance,reflectance,uncertainty_index,uncertainty_pct
-1080586,265562,201204010545,1,2,21,7998,0.32986662,0.0,0,0.563
-1080729,265547,201204010545,1,2,21,8142,0.33888447,0.0,0,0.563
-1080899,265529,201204010545,1,2,21,7927,0.32542032,0.0,0,0.563
-1081064,265512,201204010545,1,2,21,7607,0.30538064,0.0,0,0.563
-1081216,265496,201204010545,1,2,21,7719,0.31239453,0.0,0,0.563
-1081358,265481,201204010545,1,2,21,7567,0.30287567,0.0,0,0.563
-1081518,265464,201204010545,1,2,21,7447,0.2953608,0.0,0,0.563
-1081665,265448,201204010545,1,2,21,7631,0.3068836,0.0,0,0.563
-1081812,265432,201204010545,1,2,21,7567,0.30287567,0.0,0,0.563
-1081965,265416,201204010545,1,2,21,7591,0.30437866,0.0,0,0.563
-1082139,265398,201204010545,1,2,21,7575,0.30337667,0.0,0,0.563
-1082287,265382,201204010545,1,2,21,7543,0.3013727,0.0,0,0.563
-1082424,265367,201204010545,1,2,21,7887,0.32291535,0.0,0,0.563
-1082564,265352,201204010545,1,2,21,8126,0.3378825,0.0,0,0.563
-1082708,265337,201204010545,1,2,21,8294,0.3484033,0.0,0,0.563
-1082837,265323,201204010545,1,2,21,7783,0.31640247,0.0,0,0.563
-1082988,265307,201204010545,1,2,21,7751,0.3143985,0.0,0,0.563
-1083133,265291,201204010545,1,2,21,7887,0.32291535,0.0,0,0.563
-1083279,265275,201204010545,1,2,21,7535,0.3008717,0.0,0,0.563
-1083427,265259,201204010545,1,2,21,7391,0.29185385,0.0,0,0.563
-1083574,265243,201204010545,1,2,21,7423,0.2938578,0.0,0,0.563
-1083721,265228,201204010545,1,2,21,7383,0.29135287,0.0,0,0.563
-1083868,265212,201204010545,1,2,21,7311,0.28684393,0.0,0,0.563
-1084015,265196,201204010545,1,2,21,7495,0.29836676,0.0,0,0.563
-1084160,265180,201204010545,1,2,21,7847,0.3204104,0.0,0,0.563
-1084306,265164,201204010545,1,2,21,7607,0.30538064,0.0,0,0.563
-1084452,265148,201204010545,1,2,21,7687,0.31039056,0.0,0,0.563
-1084598,265133,201204010545,1,2,21,7623,0.30638263,0.0,0,0.563
-1084744,265117,201204010545,1,2,21,7711,0.31189352,0.0,0,0.563
-1084890,265101,201204010545,1,2,21,7759,0.31489947,0.0,0,0.563
-1085036,265085,201204010545,1,2,21,7927,0.32542032,0.0,0,0.563
-1085181,265069,201204010545,1,2,21,8230,0.34439537,0.0,0,0.563
-1085323,265054,201204010545,1,2,21,8030,0.3318706,0.0,0,0.563
-1085466,265038,201204010545,1,2,21,7719,0.31239453,0.0,0,0.563
-1085609,265022,201204010545,1,2,21,7911,0.32441834,0.0,0,0.563
-1085752,265007,201204010545,1,2,21,8102,0.3363795,0.0,0,0.563
-1085896,264991,201204010545,1,2,21,7919,0.3249193,0.0,0,0.563
-1086040,264975,201204010545,1,2,21,7903,0.32391733,0.0,0,0.563
-1086182,264960,201204010545,1,2,21,8006,0.3303676,0.0,0,0.563
-1086326,264944,201204010545,1,2,21,7719,0.31239453,0.0,0,0.563
-1086469,264928,201204010545,1,2,21,7759,0.31489947,0.0,0,0.563
-1086611,264913,201204010545,1,2,21,7775,0.31590146,0.0,0,0.563
-1086751,264897,201204010545,1,2,21,7519,0.29986972,0.0,0,0.563
-1086892,264882,201204010545,1,2,21,7511,0.29936874,0.0,0,0.563
-1087032,264866,201204010545,1,2,21,7607,0.30538064,0.0,0,0.563
-1087173,264851,201204010545,1,2,21,7743,0.3138975,0.0,0,0.563
-1087313,264835,201204010545,1,2,21,8374,0.35341322,0.0,0,0.563
-1087454,264820,201204010545,1,2,21,7591,0.30437866,0.0,0,0.563
-1087594,264804,201204010545,1,2,21,7375,0.29085186,0.0,0,0.563
-1087734,264788,201204010545,1,2,21,7335,0.28834692,0.0,0,0.563
-1087874,264773,201204010545,1,2,21,7319,0.28734493,0.0,0,0.563
-1088014,264757,201204010545,1,2,21,7367,0.29035088,0.0,0,0.563
-1088153,264742,201204010545,1,2,21,7359,0.28984988,0.0,0,0.563
-1088292,264726,201204010545,1,2,21,7151,0.2768241,0.0,0,0.563
-1088431,264711,201204010545,1,2,21,7183,0.27882805,0.0,0,0.563
-1088571,264695,201204010545,1,2,21,7423,0.2938578,0.0,0,0.563
-1088711,264680,201204010545,1,2,21,7783,0.31640247,0.0,0,0.563
-1088858,264663,201204010545,1,2,21,8078,0.33487654,0.0,0,0.563
-1089000,264648,201204010545,1,2,21,8118,0.33738148,0.0,0,0.563
-1089129,264633,201204010545,1,2,21,8182,0.34138942,0.0,0,0.563
-1089255,264619,201204010545,1,2,21,7943,0.3264223,0.0,0,0.563
-1089387,264604,201204010545,1,2,21,7399,0.29235485,0.0,0,0.563
-1089522,264589,201204010545,1,2,21,7247,0.282836,0.0,0,0.563
-1089657,264574,201204010545,1,2,21,7239,0.282335,0.0,0,0.563
-1089792,264559,201204010545,1,2,21,7239,0.282335,0.0,0,0.563
-1089927,264543,201204010545,1,2,21,7087,0.27281615,0.0,0,0.563
-1090062,264528,201204010545,1,2,21,6790,0.25421685,0.0,0,0.563
-1090197,264513,201204010545,1,2,21,6911,0.26179433,0.0,0,0.563
-1090331,264498,201204010545,1,2,21,6991,0.26680425,0.0,0,0.563
-1090465,264483,201204010545,1,2,21,6911,0.26179433,0.0,0,0.563
-1090598,264468,201204010545,1,2,21,6854,0.2582248,0.0,0,0.563
-1090732,264452,201204010545,1,2,21,6846,0.25772378,0.0,0,0.563
-1090865,264437,201204010545,1,2,21,6742,0.2512109,0.0,0,0.563
-1090998,264422,201204010545,1,2,21,6758,0.25221288,0.0,0,0.563
-1091131,264407,201204010545,1,2,21,6686,0.24770394,0.0,0,0.563
-1091264,264392,201204010545,1,2,21,6822,0.25622082,0.0,0,0.563
-1091396,264377,201204010545,1,2,21,6959,0.26480028,0.0,0,0.563
-1091528,264362,201204010545,1,2,21,6927,0.2627963,0.0,0,0.563
-1091660,264347,201204010545,1,2,21,6830,0.2567218,0.0,0,0.563
-1091791,264332,201204010545,1,2,21,6855,0.2582874,0.0,0,0.563
-1091923,264317,201204010545,1,2,21,6919,0.26229534,0.0,0,0.563
-1092054,264302,201204010545,1,2,21,6766,0.25271386,0.0,0,0.563
-1092185,264287,201204010545,1,2,21,7007,0.26780623,0.0,0,0.563
-1092316,264272,201204010545,1,2,21,7071,0.27181417,0.0,0,0.563
-1092446,264257,201204010545,1,2,21,8198,0.3423914,0.0,0,0.563
-1092577,264242,201204010545,1,2,21,8685,0.37288928,0.0,0,0.563
-1092707,264227,201204010545,1,2,21,8757,0.37739822,0.0,0,0.563
-1092837,264212,201204010545,1,2,21,8669,0.3718873,0.0,0,0.563
-1092966,264198,201204010545,1,2,21,8653,0.3708853,0.0,0,0.563
-1093096,264183,201204010545,1,2,21,8645,0.37038434,0.0,0,0.563
-1093225,264168,201204010545,1,2,21,8669,0.3718873,0.0,0,0.563
-1093354,264153,201204010545,1,2,21,8685,0.37288928,0.0,0,0.563
-1093483,264138,201204010545,1,2,21,8677,0.3723883,0.0,0,0.563
-1093612,264123,201204010545,1,2,21,8661,0.37138632,0.0,0,0.563
-1093740,264108,201204010545,1,2,21,8637,0.36988333,0.0,0,0.563
-1093868,264094,201204010545,1,2,21,8533,0.36337045,0.0,0,0.563
-1093996,264079,201204010545,1,2,21,8414,0.3559182,0.0,0,0.563
